ID	Detector	miRNA_ID	SPOT_ID
46	hsa-miR-34c-5p-4373036	hsa-miR-34c-5p	
47	hsa-miR-92a-4395169	hsa-miR-92a	
48	hsa-miR-93-4373302	hsa-miR-93	
49	hsa-miR-95-4373011	hsa-miR-95	
50	hsa-miR-96-4373372	hsa-miR-96	
51	hsa-miR-98-4373009	hsa-miR-98	
52	hsa-miR-99a-4373008	hsa-miR-99a	
53	hsa-miR-99b-4373007	hsa-miR-99b	
54	hsa-miR-100-4373160	hsa-miR-100	
55	hsa-miR-101-4395364	hsa-miR-101	
56	hsa-miR-103-4373158	hsa-miR-103	
57	hsa-miR-105-4395278	hsa-miR-105	
58	hsa-miR-106a-4395280	hsa-miR-106a	
59	RNU44-4373384		RNU44
60	hsa-miR-106b-4373155	hsa-miR-106b	
61	hsa-miR-107-4373154	hsa-miR-107	
62	hsa-miR-122-4395356	hsa-miR-122	
63	hsa-miR-124-4373295	hsa-miR-124	
64	hsa-miR-125a-3p-4395310	hsa-miR-125a-3p	
65	hsa-miR-125a-5p-4395309	hsa-miR-125a-5p	
66	hsa-miR-125b-4373148	hsa-miR-125b	
67	hsa-miR-126-4395339	hsa-miR-126	
68	hsa-miR-127-3p-4373147	hsa-miR-127-3p	
69	hsa-miR-127-5p-4395340	hsa-miR-127-5p	
70	hsa-miR-128-4395327	hsa-miR-128	
71	hsa-miR-129-3p-4373297	hsa-miR-129-3p	
72	hsa-miR-129-5p-4373171	hsa-miR-129-5p	
73	hsa-miR-130a-4373145	hsa-miR-130a	
74	hsa-miR-130b-4373144	hsa-miR-130b	
75	hsa-miR-132-4373143	hsa-miR-132	
76	hsa-miR-133a-4395357	hsa-miR-133a	
77	hsa-miR-133b-4395358	hsa-miR-133b	
78	hsa-miR-134-4373299	hsa-miR-134	
79	hsa-miR-135a-4373140	hsa-miR-135a	
80	hsa-miR-135b-4395372	hsa-miR-135b	
81	hsa-miR-136-4373173	hsa-miR-136	
82	hsa-miR-137-4373301	hsa-miR-137	
83	hsa-miR-138-4395395	hsa-miR-138	
84	hsa-miR-139-3p-4395424	hsa-miR-139-3p	
85	hsa-miR-139-5p-4395400	hsa-miR-139-5p	
86	hsa-miR-140-3p-4395345	hsa-miR-140-3p	
87	hsa-miR-140-5p-4373374	hsa-miR-140-5p	
88	hsa-miR-141-4373137	hsa-miR-141	
89	hsa-miR-142-3p-4373136	hsa-miR-142-3p	
90	hsa-miR-142-5p-4395359	hsa-miR-142-5p	
91	hsa-miR-143-4395360	hsa-miR-143	
92	hsa-miR-145-4395389	hsa-miR-145	
93	hsa-miR-146a-4373132	hsa-miR-146a	
94	hsa-miR-146b-3p-4395472	hsa-miR-146b-3p	
95	hsa-miR-146b-5p-4373178	hsa-miR-146b-5p	
96	hsa-miR-147b-4395373	hsa-miR-147b	
97	hsa-miR-148a-4373130	hsa-miR-148a	
98	hsa-miR-148b-4373129	hsa-miR-148b	
99	hsa-miR-149-4395366	hsa-miR-149	
100	hsa-miR-150-4373127	hsa-miR-150	
101	hsa-miR-152-4395170	hsa-miR-152	
102	hsa-miR-153-4373305	hsa-miR-153	
103	hsa-miR-154-4373270	hsa-miR-154	
104	hsa-miR-181a-4373117	hsa-miR-181a	
105	hsa-miR-181c-4373115	hsa-miR-181c	
106	hsa-miR-182-4395445	hsa-miR-182	
107	RNU48-4373383		RNU48
108	hsa-miR-183-4395380	hsa-miR-183	
109	hsa-miR-184-4373113	hsa-miR-184	
110	hsa-miR-185-4395382	hsa-miR-185	
111	hsa-miR-186-4395396	hsa-miR-186	
112	hsa-miR-187-4373307	hsa-miR-187	
113	hsa-miR-188-3p-4395217	hsa-miR-188-3p	
114	hsa-miR-190-4373110	hsa-miR-190	
115	hsa-miR-191-4395410	hsa-miR-191	
116	hsa-miR-192-4373108	hsa-miR-192	
117	hsa-miR-193a-3p-4395361	hsa-miR-193a-3p	
118	hsa-miR-193a-5p-4395392	hsa-miR-193a-5p	
119	hsa-miR-193b-4395478	hsa-miR-193b	
120	hsa-miR-194-4373106	hsa-miR-194	
121	hsa-miR-195-4373105	hsa-miR-195	
122	hsa-miR-196b-4395326	hsa-miR-196b	
123	hsa-miR-197-4373102	hsa-miR-197	
124	hsa-miR-198-4395384	hsa-miR-198	
125	hsa-miR-199a-5p-4373272	hsa-miR-199a-5p	
126	hsa-miR-199a-3p-4395415	hsa-miR-199a-3p	
127	hsa-miR-199b-5p-4373100	hsa-miR-199b-5p	
128	hsa-miR-200a-4378069	hsa-miR-200a	
129	hsa-miR-200b-4395362	hsa-miR-200b	
130	hsa-miR-200c-4395411	hsa-miR-200c	
131	hsa-miR-202-4395474	hsa-miR-202	
132	hsa-miR-203-4373095	hsa-miR-203	
133	hsa-miR-204-4373094	hsa-miR-204	
134	hsa-miR-205-4373093	hsa-miR-205	
135	hsa-miR-208b-4395401	hsa-miR-208b	
136	hsa-miR-210-4373089	hsa-miR-210	
137	hsa-miR-214-4395417	hsa-miR-214	
138	hsa-miR-215-4373084	hsa-miR-215	
139	hsa-miR-216a-4395331	hsa-miR-216a	
140	hsa-miR-216b-4395437	hsa-miR-216b	
141	hsa-miR-217-4395448	hsa-miR-217	
142	hsa-miR-218-4373081	hsa-miR-218	
143	hsa-miR-219-5p-4373080	hsa-miR-219-5p	
144	hsa-miR-221-4373077	hsa-miR-221	
145	hsa-miR-222-4395387	hsa-miR-222	
146	hsa-miR-223-4395406	hsa-miR-223	
147	hsa-miR-224-4395210	hsa-miR-224	
148	hsa-miR-296-3p-4395212	hsa-miR-296-3p	
149	hsa-miR-296-5p-4373066	hsa-miR-296-5p	
150	hsa-miR-299-3p-4373189	hsa-miR-299-3p	
151	hsa-miR-299-5p-4373188	hsa-miR-299-5p	
152	hsa-miR-301a-4373064	hsa-miR-301a	
